model,type,val_auc_roc,val_auc_pr,val_ks,fit_time_s
LogisticRegression,baseline,0.7121239415392213,0.3757120161588898,0.30611319754987465,8.077929019927979
DecisionTree,tuned,0.7009804667099374,0.3572332347406996,0.28962757508651193,908.0777456760406
XGBoost,tuned,0.7237975519315394,0.3930565294110151,0.32458321748736185,507.1511733531952
HistGradientBoosting,tuned,0.7232714919579543,0.3932702025367813,0.3221781609912199,2633.0124821662903
